dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 549.7353908927457,2,0,1
947.0, 23.0, 78.0, 869.0, 47.0, 499.85597925802585,0,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 794.0988603442269,1,0,1
851.0, 119.0, 78.0, 869.0, 79.30952023559341, 684.8299058890462,3,0,1
819.0, 151.0, 206.0, 741.0, 131.04579352272242, 566.1377924145322,1,0,1
723.0, 247.0, 270.0, 677.0, 181.01933598375618, 454.80545291366064,2,0,1
659.0, 311.0, 142.0, 805.0, 143.75326083258076, 529.6942514318991,3,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 357.5933444570802,2,0,1
947.0, 23.0, 110.0, 837.0, 63.0, 353.45155254999236,0,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 516.0474784358508,0,0,1
970.0, 0.0, 0.0, 947.0, 51.42956348249516, 538.7587586295001,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 201.43733516902967,3,0,1
947.0, 23.0, 270.0, 677.0, 143.0, 90.50966799187809,3,0,1
947.0, 23.0, 398.0, 549.0, 207.0, 202.3857702507763,1,0,1
883.0, 87.0, 462.0, 485.0, 218.0022935659164, 256.0,3,0,1
851.0, 119.0, 558.0, 389.0, 270.20362691866296, 353.45155254999236,2,0,1
851.0, 119.0, 718.0, 229.0, 359.21720448775835, 512.9990253402048,3,0,1
851.0, 119.0, 878.0, 69.0, 446.9194558306899, 672.7614733321165,3,0,1
-1, -1, -1, -1, -1, -1,1,0,1
-1, -1, -1, -1, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,1,0,1
-1, -1, -1, -1, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,1,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 833.921459131494,0,0,1
-1, -1, -1, -1, -1, -1,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 615.3771201466626,0,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 915.9219399053611,0,0,1
962.0, 8.0, 62.0, 885.0, 21.93171219946131, 911.2107330359976,3,0,0
947.0, 23.0, 15.0, 932.0, -1, 671.7626068783525,2,0,1
947.0, 23.0, 142.0, 805.0, 79.0, 544.9403637096449,3,0,1
947.0, 23.0, 270.0, 677.0, 143.0, 417.22895393296955,2,0,1
947.0, 23.0, 398.0, 549.0, 207.0, 289.77232442039735,1,0,1
851.0, 119.0, 462.0, 485.0, 216.5848563496534, 232.96351645697658,1,0,1
723.0, 247.0, 462.0, 485.0, 249.28898892650673, 295.0254226333724,3,0,1
659.0, 311.0, 558.0, 389.0, 304.8622639816217, 286.2167011199731,1,0,1
531.0, 439.0, 622.0, 325.0, 375.598189559002, 389.29680193908604,0,0,1
371.0, 599.0, 622.0, 325.0, 453.0275929786176, 547.7517685959581,3,0,1
339.0, 631.0, 750.0, 197.0, 489.3148270796625, 579.5446488407947,0,0,1
467.0, 503.0, 782.0, 165.0, 371.21557079411417, 458.1702740248433,1,0,1
595.0, 375.0, 782.0, 165.0, 287.0836115141371, 334.0898082851376,3,0,1
659.0, 311.0, 846.0, 101.0, 319.22562553780045, 301.8873962258113,1,0,1
563.0, 407.0, 910.0, 37.0, 358.52057123685387, 417.22895393296955,3,0,1
-1, -1, -1, -1, -1, -1,3,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 659.3094872667918,0,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 472.0010593208452,3,0,1
947.0, 23.0, 110.0, 837.0, 63.0, 435.2470562795342,0,0,1
-1, -1, -1, -1, -1, -1,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 922.4668015706582,3,0,1
947.0, 23.0, 142.0, 805.0, 79.0, 858.6501033599193,3,0,1
947.0, 23.0, 270.0, 677.0, 143.0, 809.5430810031052,2,0,1
947.0, 23.0, 398.0, 549.0, 207.0, 778.5936038781721,1,0,1
851.0, 119.0, 462.0, 485.0, 216.5848563496534, 675.0407395113276,2,0,1
787.0, 183.0, 366.0, 581.0, 138.19189556555045, 628.700246540432,1,0,1
691.0, 279.0, 302.0, 645.0, 193.0932417253385, 558.8559742903353,2,0,1
627.0, 343.0, 206.0, 741.0, 240.84019598065436, 550.5488170907281,1,0,1
531.0, 439.0, 142.0, 805.0, 317.9701243827791, 520.9222590751906,1,0,1
371.0, 599.0, 142.0, 805.0, 421.283752357007, 429.32505167995964,3,0,1
307.0, 663.0, 238.0, 709.0, 419.4305663634924, 315.1634496574753,0,0,1
403.0, 567.0, 302.0, 645.0, 287.2368360778262, 316.7838379715733,3,0,1
467.0, 503.0, 398.0, 549.0, 232.97424750388186, 315.1634496574753,3,0,1
467.0, 503.0, 558.0, 389.0, 298.93979326948096, 289.77232442039735,0,0,1
563.0, 407.0, 622.0, 325.0, 292.33542378576016, 395.8181400592954,2,0,1
627.0, 343.0, 526.0, 421.0, 196.9771560359221, 448.0,3,0,1
627.0, 343.0, 366.0, 581.0, 98.84331034521254, 475.7141999141922,1,0,1
627.0, 343.0, 302.0, 645.0, -1, 500.8792269599529,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 536.1203223158026,1,0,1
883.0, 87.0, 46.0, 901.0, 53.9351462406472, 465.92703291395316,3,0,1
819.0, 151.0, 110.0, 837.0, 90.50966799187809, 389.29680193908604,1,0,1
723.0, 247.0, 174.0, 773.0, 149.4958193395387, 288.0,0,0,1
627.0, 343.0, 174.0, 773.0, 201.13676938839401, 192.0,3,0,1
563.0, 407.0, 270.0, 677.0, 240.63665556186572, 160.0,3,0,1
563.0, 407.0, 398.0, 549.0, 287.07664481806944, 257.9922479455536,0,0,1
627.0, 343.0, 462.0, 485.0, 272.80029325497435, 346.132922444543,0,0,1
787.0, 183.0, 462.0, 485.0, 238.0756182392477, 454.80545291366064,0,0,1
915.0, 55.0, 462.0, 485.0, 280.72228269234347, 559.7713819051488,2,0,1
-1, -1, -1, -1, -1, -1,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 730.1951793869911,3,0,1
947.0, 23.0, 142.0, 805.0, 79.0, 615.532289973483,0,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, -1,0,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 904.8143455980348,3,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 774.6379799622531,3,0,1
947.0, 23.0, 334.0, 613.0, 175.0, 656.5851049178622,3,0,1
947.0, 23.0, 526.0, 421.0, 271.0, 544.0,2,0,1
947.0, 23.0, 686.0, 261.0, 351.0, 489.50587330490737,3,0,1
947.0, 23.0, 878.0, 69.0, 352.0, 489.50587330490737,3,0,1
-1, -1, -1, -1, -1, -1,3,0,1
-1, -1, -1, -1, -1, -1,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 655.9031940766869,3,0,1
947.0, 23.0, 78.0, 869.0, 47.0, 614.6999267935535,1,0,1
883.0, 87.0, 142.0, 805.0, 79.30952023559341, 524.8390229394153,0,0,1
723.0, 247.0, 142.0, 805.0, 165.55965692160635, 409.7999511957023,0,0,1
595.0, 375.0, 142.0, 805.0, 235.9364321167886, 344.65054765660824,0,0,1
467.0, 503.0, 142.0, 805.0, 303.4765229799498, 320.0,0,0,1
307.0, 663.0, 142.0, 805.0, 386.21884987659524, 357.77087639996637,0,0,1
179.0, 791.0, 142.0, 805.0, 452.133829745132, 430.5159695063587,1,0,1
51.0, 919.0, 142.0, 805.0, 518.0965161048663, 524.8390229394153,2,0,1
36.0, 934.0, 158.0, 789.0, 515.6064390598706, 520.9539327042268,0,0,0
947.0, 23.0, 15.0, 932.0, -1, 546.7147336591543,2,0,1
947.0, 23.0, 142.0, 805.0, 79.0, 452.54833995939043,3,0,1
947.0, 23.0, 302.0, 645.0, 159.0, 357.77087639996637,3,0,1
947.0, 23.0, 462.0, 485.0, 239.0, 320.0,1,0,1
819.0, 151.0, 526.0, 421.0, 247.00809703327542, 202.3857702507763,1,0,1
659.0, 311.0, 526.0, 421.0, 298.0603965641863, 71.55417527999327,3,0,1
595.0, 375.0, 654.0, 293.0, 362.1380952067871, 194.64840096954302,0,0,1
691.0, 279.0, 718.0, 229.0, 259.21805492673536, 263.8787600395303,0,0,1
883.0, 87.0, 718.0, 229.0, 187.4459922217597, 362.03867196751236,3,0,1
947.0, 23.0, 846.0, 101.0, 280.4460732476032, 499.85597925802585,3,0,1
