dist_top, dist_bottom, dist_left, dist_right, dist_head_tail, dist_candy, move, score, result
947.0, 23.0, 174.0, 773.0, 95.0, 71.55417527999327,1,0,1
851.0, 119.0, 270.0, 677.0, 124.48293055676348, 131.93938001976514,3,0,1
755.0, 215.0, 398.0, 549.0, 127.94530081249565, 286.2167011199731,0,0,1
883.0, 87.0, 462.0, 485.0, 127.94530081249565, 320.0,1,0,1
962.0, 8.0, 445.0, 502.0, 140.0142849854971, 313.12936623702353,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 757.723564368959,0,0,1
962.0, 8.0, 63.0, 884.0, 22.67156809750927, 723.061546481349,1,0,0
947.0, 23.0, 15.0, 932.0, -1, 328.58636612008115,2,0,1
947.0, 23.0, 238.0, 709.0, -1, 172.32527382830412,3,0,1
947.0, 23.0, 462.0, 485.0, -1, 226.27416997969522,2,0,1
947.0, 23.0, 654.0, 293.0, -1, 386.6574711550263,0,0,1
962.0, 8.0, 734.0, 213.0, -1, 466.0997747263991,2,0,0
947.0, 23.0, 15.0, 932.0, -1, 837.4061141405645,2,0,1
947.0, 23.0, 174.0, 773.0, 95.0, 834.4579078659391,3,0,1
947.0, 23.0, 334.0, 613.0, 175.0, 861.6263691415206,1,0,1
851.0, 119.0, 430.0, 517.0, 175.27692375210148, 802.555917055005,1,0,1
659.0, 311.0, 430.0, 517.0, 208.78697277368624, 631.1386535461127,3,0,1
563.0, 407.0, 526.0, 421.0, 175.27692375210148, 611.3591415853696,3,0,1
563.0, 407.0, 718.0, 229.0, 208.78697277368624, 755.2271181571806,3,0,1
563.0, 407.0, 910.0, 37.0, 240.0, 916.8991220412418,1,0,1
